;url;INTERNY;STUD;ZAM;PON;UTO;STR;STV;PIA;SOB;NED;HOD;HOD_STV
344;mojaukf HTTP;1;0;1;0;0;1;0;0;0;0;09;81.0
345;preukazy HTTP;1;0;1;0;0;1;0;0;0;0;09;81.0
346;preukazy HTTP;1;0;1;0;0;1;0;0;0;0;09;81.0
347;preukazy;1;0;1;0;0;1;0;0;0;0;09;81.0
348;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
349;mojaukf HTTP;1;0;1;0;0;1;0;0;0;0;10;100.0
350;preukazy;1;0;1;0;0;1;0;0;0;0;10;100.0
351;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
352;mojaukf HTTP;1;0;1;0;0;1;0;0;0;0;11;121.0
353;preukazy;1;0;1;0;0;1;0;0;0;0;11;121.0
354;uvod;1;0;1;0;0;1;0;0;0;0;12;144.0
355;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
356;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
357;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
358;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
359;uvod;1;0;1;0;0;1;0;0;0;0;13;169.0
360;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
361;images;1;0;1;0;0;0;1;0;0;0;05;25.0
362;verejnost;1;0;1;0;0;0;1;0;0;0;05;25.0
363;verejnost;1;0;1;0;0;0;1;0;0;0;05;25.0
364;uvod;1;0;1;0;0;1;0;0;0;0;05;25.0
365;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
366;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
367;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
368;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
369;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
370;uvod;1;0;1;0;0;1;0;0;0;0;12;144.0
371;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
372;univerzita;1;0;1;0;0;1;0;0;0;0;08;64.0
373;univerzita;1;0;1;0;0;1;0;0;0;0;08;64.0
374;fakulty-a-sucasti HTTP;1;0;1;0;0;1;0;0;0;0;08;64.0
375;fakulty-a-sucasti;1;0;1;0;0;1;0;0;0;0;08;64.0
376;images;1;0;1;0;0;1;0;0;0;0;15;225.0
377;verejnost;1;0;1;0;0;1;0;0;0;0;15;225.0
378;verejnost;1;0;1;0;0;1;0;0;0;0;15;225.0
379;verejnost;1;0;1;0;0;1;0;0;0;0;15;225.0
380;uvod;1;0;1;0;0;1;0;0;0;0;16;256.0
381;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
382;univerzita;1;0;1;0;0;1;0;0;0;0;08;64.0
383;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
384;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
385;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
386;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
387;univerzita;1;0;1;0;0;1;0;0;0;0;09;81.0
388;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
389;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
390;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
391;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
392;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
393;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
394;univerzita;1;0;1;0;0;1;0;0;0;0;09;81.0
395;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
396;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
397;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
398;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
399;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
400;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
401;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
402;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
403;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
404;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
405;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
406;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
407;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
408;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
409;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
410;univerzita;1;0;1;0;0;1;0;0;0;0;13;169.0
411;uvod;1;0;1;0;0;1;0;0;0;0;14;196.0
412;univerzita;1;0;1;0;0;1;0;0;0;0;14;196.0
413;uvod;1;1;0;0;0;1;0;0;0;0;13;169.0
414;uvod;1;1;0;0;0;1;0;0;0;0;15;225.0
415;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
416;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
417;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
418;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
419;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
420;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
421;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
422;uvod;1;1;0;0;0;1;0;0;0;0;06;36.0
423;univerzita;1;1;0;0;0;1;0;0;0;0;07;49.0
